Имя задачи,Время начала выполнения задачи,Время конца выполнения задачи,Общее время выполнения,Имя процессора,Имя ядра
174,0.000000003,0.000000003,0.000000000,Processor-5,Core-6
234,0.000000004,0.000000004,0.000000000,Processor-5,Core-2
267,0.000000005,0.000000005,0.000000000,Processor-1,Core-3
340,0.000000006,0.000000006,0.000000000,Processor-2,Core-4
405,0.000000007,0.000000007,0.000000000,Processor-2,Core-5
553,0.000000009,0.000000009,0.000000000,Processor-5,Core-1
566,0.000000009,0.000000009,0.000000000,Processor-6,Core-6
625,0.000000010,0.000000010,0.000000000,Processor-6,Core-1
635,0.000000010,0.000000010,0.000000000,Processor-7,Core-3
736,0.000000012,0.000000012,0.000000000,Processor-4,Core-0
30,0.000000001,0.000000017,0.000000016,Processor-0,Core-6
31,0.000000001,0.000000017,0.000000016,Processor-0,Core-7
36,0.000000001,0.000000017,0.000000016,Processor-1,Core-4
39,0.000000001,0.000000017,0.000000016,Processor-1,Core-7
43,0.000000001,0.000000017,0.000000016,Processor-2,Core-3
49,0.000000001,0.000000017,0.000000016,Processor-3,Core-1
50,0.000000001,0.000000017,0.000000016,Processor-3,Core-2
52,0.000000001,0.000000017,0.000000016,Processor-3,Core-4
63,0.000000001,0.000000017,0.000000016,Processor-4,Core-7
66,0.000000002,0.000000017,0.000000015,Processor-5,Core-2
68,0.000000002,0.000000017,0.000000015,Processor-5,Core-4
80,0.000000002,0.000000017,0.000000015,Processor-7,Core-0
85,0.000000002,0.000000017,0.000000015,Processor-7,Core-5
98,0.000000002,0.000000018,0.000000016,Processor-1,Core-2
100,0.000000002,0.000000018,0.000000016,Processor-1,Core-4
102,0.000000002,0.000000018,0.000000016,Processor-1,Core-6
103,0.000000002,0.000000018,0.000000016,Processor-1,Core-7
114,0.000000002,0.000000018,0.000000016,Processor-3,Core-2
121,0.000000002,0.000000018,0.000000016,Processor-4,Core-1
132,0.000000003,0.000000018,0.000000015,Processor-5,Core-4
140,0.000000003,0.000000018,0.000000015,Processor-6,Core-4
148,0.000000003,0.000000018,0.000000015,Processor-7,Core-4
149,0.000000003,0.000000018,0.000000015,Processor-7,Core-5
162,0.000000003,0.000000019,0.000000016,Processor-1,Core-2
165,0.000000003,0.000000019,0.000000016,Processor-1,Core-5
189,0.000000003,0.000000019,0.000000016,Processor-4,Core-4
208,0.000000004,0.000000019,0.000000015,Processor-6,Core-7
209,0.000000004,0.000000019,0.000000015,Processor-7,Core-0
218,0.000000004,0.000000020,0.000000016,Processor-0,Core-1
227,0.000000004,0.000000020,0.000000016,Processor-1,Core-2
235,0.000000004,0.000000020,0.000000016,Processor-2,Core-1
243,0.000000004,0.000000020,0.000000016,Processor-3,Core-1
249,0.000000004,0.000000020,0.000000016,Processor-3,Core-7
253,0.000000004,0.000000020,0.000000016,Processor-4,Core-3
254,0.000000004,0.000000020,0.000000016,Processor-4,Core-4
258,0.000000005,0.000000020,0.000000015,Processor-5,Core-0
264,0.000000005,0.000000020,0.000000015,Processor-5,Core-6
274,0.000000005,0.000000020,0.000000015,Processor-6,Core-7
277,0.000000005,0.000000020,0.000000015,Processor-7,Core-2
278,0.000000005,0.000000020,0.000000015,Processor-7,Core-3
282,0.000000005,0.000000020,0.000000015,Processor-7,Core-7
296,0.000000005,0.000000021,0.000000016,Processor-1,Core-5
301,0.000000005,0.000000021,0.000000016,Processor-2,Core-2
325,0.000000006,0.000000021,0.000000015,Processor-5,Core-2
327,0.000000006,0.000000021,0.000000015,Processor-5,Core-4
371,0.000000006,0.000000022,0.000000016,Processor-2,Core-7
373,0.000000006,0.000000022,0.000000016,Processor-3,Core-1
379,0.000000006,0.000000022,0.000000016,Processor-3,Core-7
381,0.000000006,0.000000022,0.000000016,Processor-4,Core-1
396,0.000000007,0.000000022,0.000000015,Processor-6,Core-0
399,0.000000007,0.000000022,0.000000015,Processor-6,Core-3
411,0.000000007,0.000000022,0.000000015,Processor-7,Core-6
437,0.000000007,0.000000023,0.000000016,Processor-3,Core-0
443,0.000000007,0.000000023,0.000000016,Processor-3,Core-6
447,0.000000007,0.000000023,0.000000016,Processor-4,Core-2
462,0.000000008,0.000000023,0.000000015,Processor-6,Core-1
473,0.000000008,0.000000023,0.000000015,Processor-7,Core-4
474,0.000000008,0.000000023,0.000000015,Processor-7,Core-5
475,0.000000008,0.000000023,0.000000015,Processor-7,Core-6
492,0.000000008,0.000000024,0.000000016,Processor-1,Core-7
496,0.000000008,0.000000024,0.000000016,Processor-2,Core-3
501,0.000000008,0.000000024,0.000000016,Processor-3,Core-0
502,0.000000008,0.000000024,0.000000016,Processor-3,Core-1
504,0.000000008,0.000000024,0.000000016,Processor-3,Core-3
512,0.000000009,0.000000024,0.000000015,Processor-4,Core-3
564,0.000000009,0.000000025,0.000000016,Processor-2,Core-6
578,0.000000010,0.000000025,0.000000015,Processor-4,Core-3
579,0.000000010,0.000000025,0.000000015,Processor-4,Core-4
601,0.000000010,0.000000025,0.000000015,Processor-7,Core-2
602,0.000000010,0.000000025,0.000000015,Processor-7,Core-3
609,0.000000010,0.000000026,0.000000016,Processor-0,Core-2
621,0.000000010,0.000000026,0.000000016,Processor-1,Core-6
623,0.000000010,0.000000026,0.000000016,Processor-2,Core-0
631,0.000000010,0.000000026,0.000000016,Processor-2,Core-7
637,0.000000010,0.000000026,0.000000016,Processor-3,Core-4
638,0.000000010,0.000000026,0.000000016,Processor-3,Core-5
646,0.000000011,0.000000026,0.000000015,Processor-4,Core-5
651,0.000000011,0.000000026,0.000000015,Processor-5,Core-2
657,0.000000011,0.000000026,0.000000015,Processor-6,Core-0
661,0.000000011,0.000000026,0.000000015,Processor-6,Core-4
667,0.000000011,0.000000026,0.000000015,Processor-7,Core-2
688,0.000000011,0.000000027,0.000000016,Processor-1,Core-7
701,0.000000011,0.000000027,0.000000016,Processor-3,Core-4
717,0.000000012,0.000000027,0.000000015,Processor-5,Core-4
718,0.000000012,0.000000027,0.000000015,Processor-5,Core-5
740,0.000000012,0.000000028,0.000000016,Processor-0,Core-2
745,0.000000012,0.000000028,0.000000016,Processor-0,Core-7
752,0.000000012,0.000000028,0.000000016,Processor-1,Core-6
754,0.000000012,0.000000028,0.000000016,Processor-2,Core-0
771,0.000000013,0.000000028,0.000000015,Processor-4,Core-1
772,0.000000013,0.000000028,0.000000015,Processor-4,Core-2
784,0.000000013,0.000000028,0.000000015,Processor-5,Core-6
799,0.000000013,0.000000028,0.000000015,Processor-7,Core-5
801,0.000000013,0.000000028,0.000000015,Processor-7,Core-7
807,0.000000013,0.000000029,0.000000016,Processor-0,Core-5
815,0.000000013,0.000000029,0.000000016,Processor-1,Core-5
818,0.000000013,0.000000029,0.000000016,Processor-2,Core-0
824,0.000000013,0.000000029,0.000000016,Processor-2,Core-6
831,0.000000013,0.000000029,0.000000016,Processor-3,Core-5
833,0.000000014,0.000000029,0.000000015,Processor-3,Core-7
836,0.000000014,0.000000029,0.000000015,Processor-4,Core-2
841,0.000000014,0.000000029,0.000000015,Processor-4,Core-7
843,0.000000014,0.000000029,0.000000015,Processor-5,Core-1
849,0.000000014,0.000000029,0.000000015,Processor-5,Core-7
857,0.000000014,0.000000029,0.000000015,Processor-6,Core-7
863,0.000000014,0.000000029,0.000000015,Processor-7,Core-5
866,0.000000014,0.000000030,0.000000016,Processor-0,Core-0
876,0.000000014,0.000000030,0.000000016,Processor-1,Core-2
878,0.000000014,0.000000030,0.000000016,Processor-1,Core-4
881,0.000000014,0.000000030,0.000000016,Processor-1,Core-7
888,0.000000014,0.000000030,0.000000016,Processor-2,Core-6
895,0.000000014,0.000000030,0.000000016,Processor-3,Core-5
901,0.000000015,0.000000030,0.000000015,Processor-4,Core-3
906,0.000000015,0.000000030,0.000000015,Processor-5,Core-0
908,0.000000015,0.000000030,0.000000015,Processor-5,Core-2
909,0.000000015,0.000000030,0.000000015,Processor-5,Core-3
918,0.000000015,0.000000030,0.000000015,Processor-6,Core-4
928,0.000000015,0.000000030,0.000000015,Processor-7,Core-6
931,0.000000015,0.000000031,0.000000016,Processor-0,Core-1
938,0.000000015,0.000000031,0.000000016,Processor-1,Core-0
939,0.000000015,0.000000031,0.000000016,Processor-1,Core-1
940,0.000000015,0.000000031,0.000000016,Processor-1,Core-2
952,0.000000015,0.000000031,0.000000016,Processor-2,Core-6
954,0.000000015,0.000000031,0.000000016,Processor-3,Core-0
956,0.000000015,0.000000031,0.000000016,Processor-3,Core-2
966,0.000000016,0.000000031,0.000000015,Processor-4,Core-4
984,0.000000016,0.000000031,0.000000015,Processor-6,Core-6
989,0.000000016,0.000000031,0.000000015,Processor-7,Core-3
991,0.000000016,0.000000031,0.000000015,Processor-7,Core-5
998,0.000000016,0.000000032,0.000000016,Processor-0,Core-4
2,0.000000001,0.000000032,0.000000031,Processor-1,Core-0
8,0.000000001,0.000000032,0.000000031,Processor-1,Core-6
11,0.000000001,0.000000032,0.000000031,Processor-2,Core-1
15,0.000000001,0.000000032,0.000000031,Processor-2,Core-5
20,0.000000001,0.000000032,0.000000031,Processor-3,Core-2
22,0.000000001,0.000000032,0.000000031,Processor-3,Core-4
25,0.000000001,0.000000032,0.000000031,Processor-3,Core-7
27,0.000000001,0.000000032,0.000000031,Processor-4,Core-1
28,0.000000001,0.000000032,0.000000031,Processor-4,Core-2
35,0.000000001,0.000000032,0.000000031,Processor-4,Core-7
67,0.000000002,0.000000032,0.000000030,Processor-7,Core-7
75,0.000000002,0.000000033,0.000000031,Processor-0,Core-6
86,0.000000002,0.000000033,0.000000031,Processor-1,Core-7
87,0.000000002,0.000000033,0.000000031,Processor-2,Core-0
90,0.000000002,0.000000033,0.000000031,Processor-2,Core-3
94,0.000000002,0.000000033,0.000000031,Processor-2,Core-7
116,0.000000002,0.000000033,0.000000031,Processor-5,Core-0
123,0.000000002,0.000000033,0.000000031,Processor-5,Core-6
124,0.000000002,0.000000033,0.000000031,Processor-5,Core-7
125,0.000000002,0.000000033,0.000000031,Processor-6,Core-0
127,0.000000002,0.000000033,0.000000031,Processor-6,Core-2
131,0.000000003,0.000000033,0.000000030,Processor-6,Core-6
150,0.000000003,0.000000034,0.000000031,Processor-0,Core-5
190,0.000000003,0.000000034,0.000000031,Processor-5,Core-1
202,0.000000004,0.000000034,0.000000030,Processor-6,Core-5
203,0.000000004,0.000000034,0.000000030,Processor-6,Core-6
204,0.000000004,0.000000034,0.000000030,Processor-6,Core-7
205,0.000000004,0.000000034,0.000000030,Processor-7,Core-0
213,0.000000004,0.000000034,0.000000030,Processor-7,Core-6
222,0.000000004,0.000000035,0.000000031,Processor-0,Core-6
225,0.000000004,0.000000035,0.000000031,Processor-1,Core-1
228,0.000000004,0.000000035,0.000000031,Processor-1,Core-3
231,0.000000004,0.000000035,0.000000031,Processor-1,Core-6
240,0.000000004,0.000000035,0.000000031,Processor-2,Core-5
255,0.000000004,0.000000035,0.000000031,Processor-4,Core-0
262,0.000000005,0.000000035,0.000000030,Processor-4,Core-6
272,0.000000005,0.000000035,0.000000030,Processor-5,Core-6
290,0.000000005,0.000000035,0.000000030,Processor-7,Core-4
300,0.000000005,0.000000036,0.000000031,Processor-0,Core-5
303,0.000000005,0.000000036,0.000000031,Processor-0,Core-7
313,0.000000005,0.000000036,0.000000031,Processor-2,Core-1
316,0.000000005,0.000000036,0.000000031,Processor-2,Core-4
334,0.000000006,0.000000036,0.000000030,Processor-4,Core-4
360,0.000000006,0.000000036,0.000000030,Processor-7,Core-5
366,0.000000006,0.000000037,0.000000031,Processor-0,Core-3
400,0.000000007,0.000000037,0.000000030,Processor-3,Core-7
414,0.000000007,0.000000037,0.000000030,Processor-5,Core-3
420,0.000000007,0.000000037,0.000000030,Processor-6,Core-1
421,0.000000007,0.000000037,0.000000030,Processor-6,Core-2
428,0.000000007,0.000000037,0.000000030,Processor-7,Core-1
430,0.000000007,0.000000037,0.000000030,Processor-7,Core-3
436,0.000000007,0.000000038,0.000000031,Processor-0,Core-1
446,0.000000007,0.000000038,0.000000031,Processor-1,Core-1
452,0.000000008,0.000000038,0.000000030,Processor-1,Core-6
456,0.000000008,0.000000038,0.000000030,Processor-2,Core-2
460,0.000000008,0.000000038,0.000000030,Processor-2,Core-6
468,0.000000008,0.000000038,0.000000030,Processor-3,Core-5
477,0.000000008,0.000000038,0.000000030,Processor-4,Core-3
488,0.000000008,0.000000038,0.000000030,Processor-5,Core-6
494,0.000000008,0.000000038,0.000000030,Processor-6,Core-3
500,0.000000008,0.000000038,0.000000030,Processor-7,Core-0
505,0.000000008,0.000000038,0.000000030,Processor-7,Core-2
506,0.000000008,0.000000038,0.000000030,Processor-7,Core-3
524,0.000000009,0.000000039,0.000000030,Processor-1,Core-4
530,0.000000009,0.000000039,0.000000030,Processor-2,Core-2
536,0.000000009,0.000000039,0.000000030,Processor-3,Core-0
545,0.000000009,0.000000039,0.000000030,Processor-4,Core-1
546,0.000000009,0.000000039,0.000000030,Processor-4,Core-2
558,0.000000009,0.000000039,0.000000030,Processor-5,Core-5
561,0.000000009,0.000000039,0.000000030,Processor-6,Core-0
584,0.000000010,0.000000040,0.000000030,Processor-0,Core-3
